,Referee,B365H lag 7 matches,B365H lag 6 matches,B365H lag 5 matches,B365H lag 4 matches,B365H lag 3 matches,B365H lag 2 matches,B365H lag 1 match,B365H most recent match,B365D lag 7 matches,B365D lag 6 matches,B365D lag 5 matches,B365D lag 4 matches,B365D lag 3 matches,B365D lag 2 matches,B365D lag 1 match,B365D most recent match,B365A lag 7 matches,B365A lag 6 matches,B365A lag 5 matches,B365A lag 4 matches,B365A lag 3 matches,B365A lag 2 matches,B365A lag 1 match,B365A most recent match,HICT lag 7 matches,HICT lag 6 matches,HICT lag 5 matches,HICT lag 4 matches,HICT lag 3 matches,HICT lag 2 matches,HICT lag 1 match,HICT most recent match,AICT lag 7 matches,AICT lag 6 matches,AICT lag 5 matches,AICT lag 4 matches,AICT lag 3 matches,AICT lag 2 matches,AICT lag 1 match,AICT most recent match,DifICT lag 7 matches,DifICT lag 6 matches,DifICT lag 5 matches,DifICT lag 4 matches,DifICT lag 3 matches,DifICT lag 2 matches,DifICT lag 1 match,DifICT most recent match
0,A Marriner,4.0,1.9,3.1,1.25,3.1,1.53,1.66,9.0,3.4,3.5,3.1,5.75,3.2,4.5,3.8,5.75,1.95,4.0,2.45,13.0,2.37,5.75,5.25,1.3,7300.0,7900.0,7600.0,8300.0,7500.0,8400.0,8000.0,7400.0,7900.0,7600.0,7600.0,7600.0,7800.0,7600.0,7800.0,8400.0,-600.0,300.0,0.0,700.0,-300.0,800.0,200.0,-1000.0
1,M Atkinson,1.9,3.1,1.25,3.1,1.53,1.66,9.0,3.2,3.5,3.1,5.75,3.2,4.5,3.8,5.75,3.5,4.0,2.45,13.0,2.37,5.75,5.25,1.3,2.2,7900.0,7600.0,8300.0,7500.0,8400.0,8000.0,7400.0,7600.0,7600.0,7600.0,7600.0,7800.0,7600.0,7800.0,8400.0,7900.0,300.0,0.0,700.0,-300.0,800.0,200.0,-1000.0,-300.0
2,A Taylor,3.1,1.25,3.1,1.53,1.66,9.0,3.2,5.5,3.1,5.75,3.2,4.5,3.8,5.75,3.5,4.2,2.45,13.0,2.37,5.75,5.25,1.3,2.2,1.6,7600.0,8300.0,7500.0,8400.0,8000.0,7400.0,7600.0,8200.0,7600.0,7600.0,7800.0,7600.0,7800.0,8400.0,7900.0,8500.0,0.0,700.0,-300.0,800.0,200.0,-1000.0,-300.0,-300.0
3,M Atkinson,1.25,3.1,1.53,1.66,9.0,3.2,5.5,2.55,5.75,3.2,4.5,3.8,5.75,3.5,4.2,3.2,13.0,2.37,5.75,5.25,1.3,2.2,1.6,2.87,8300.0,7500.0,8400.0,8000.0,7400.0,7600.0,8200.0,7600.0,7600.0,7800.0,7600.0,7800.0,8400.0,7900.0,8500.0,7300.0,700.0,-300.0,800.0,200.0,-1000.0,-300.0,-300.0,300.0
4,G Scott,3.1,1.53,1.66,9.0,3.2,5.5,2.55,1.08,3.2,4.5,3.8,5.75,3.5,4.2,3.2,11.0,2.37,5.75,5.25,1.3,2.2,1.6,2.87,26.0,7500.0,8400.0,8000.0,7400.0,7600.0,8200.0,7600.0,8500.0,7800.0,7600.0,7800.0,8400.0,7900.0,8500.0,7300.0,7400.0,-300.0,800.0,200.0,-1000.0,-300.0,-300.0,300.0,1100.0
5,M Dean,1.53,1.66,9.0,3.2,5.5,2.55,1.08,1.18,4.5,3.8,5.75,3.5,4.2,3.2,11.0,7.5,5.75,5.25,1.3,2.2,1.6,2.87,26.0,13.0,8400.0,8000.0,7400.0,7600.0,8200.0,7600.0,8500.0,8400.0,7600.0,7800.0,8400.0,7900.0,8500.0,7300.0,7400.0,7600.0,800.0,200.0,-1000.0,-300.0,-300.0,300.0,1100.0,800.0
6,A Taylor,1.66,9.0,3.2,5.5,2.55,1.08,1.18,1.7,3.8,5.75,3.5,4.2,3.2,11.0,7.5,3.5,5.25,1.3,2.2,1.6,2.87,26.0,13.0,5.75,8000.0,7400.0,7600.0,8200.0,7600.0,8500.0,8400.0,7600.0,7800.0,8400.0,7900.0,8500.0,7300.0,7400.0,7600.0,7500.0,200.0,-1000.0,-300.0,-300.0,300.0,1100.0,800.0,100.0
7,D England,9.0,3.2,5.5,2.55,1.08,1.18,1.7,2.37,5.75,3.5,4.2,3.2,11.0,7.5,3.5,3.4,1.3,2.2,1.6,2.87,26.0,13.0,5.75,3.0,7400.0,7600.0,8200.0,7600.0,8500.0,8400.0,7600.0,7600.0,8400.0,7900.0,8500.0,7300.0,7400.0,7600.0,7500.0,7900.0,-1000.0,-300.0,-300.0,300.0,1100.0,800.0,100.0,-300.0
8,D Coote,3.2,5.5,2.55,1.08,1.18,1.7,2.37,1.8,3.5,4.2,3.2,11.0,7.5,3.5,3.4,3.75,2.2,1.6,2.87,26.0,13.0,5.75,3.0,4.33,7600.0,8200.0,7600.0,8500.0,8400.0,7600.0,7600.0,7800.0,7900.0,8500.0,7300.0,7400.0,7600.0,7500.0,7900.0,7600.0,-300.0,-300.0,300.0,1100.0,800.0,100.0,-300.0,200.0
9,C Pawson,5.5,2.55,1.08,1.18,1.7,2.37,1.8,5.5,4.2,3.2,11.0,7.5,3.5,3.4,3.75,4.2,1.6,2.87,26.0,13.0,5.75,3.0,4.33,1.57,8200.0,7600.0,8500.0,8400.0,7600.0,7600.0,7800.0,7600.0,8500.0,7300.0,7400.0,7600.0,7500.0,7900.0,7600.0,8400.0,-300.0,300.0,1100.0,800.0,100.0,-300.0,200.0,-800.0
