,Model Type,Lag,Score,RS,Split
0,LightGBM,Lag 7,0.6066666666666667,1,1
1,LightGBM,Lag 7,0.6066666666666667,10,1
2,LightGBM,Lag 7,0.6066666666666667,42,1
3,LightGBM,Lag 7,0.6066666666666667,60,1
4,CATBOOST,Lag 7,0.6066666666666667,42,1
5,LightGBM,Lag 7,0.6066666666666667,90,1
6,LightGBM,Lag 1,0.5986842105263158,42,1
7,LightGBM,Lag 1,0.5986842105263158,90,1
8,LightGBM,Lag 1,0.5986842105263158,60,1
9,LightGBM,Lag 1,0.5986842105263158,10,1
10,LightGBM,Lag 1,0.5986842105263158,1,1
11,RF,Lag 3,0.5960264900662252,42,1
12,L1,Lag 1,0.5921052631578947,42,1
13,RF,Lag 1,0.5921052631578947,10,1
14,CATBOOST,Lag 3,0.5894039735099338,1,1
15,CATBOOST,Lag 5,0.5866666666666667,90,1
16,RF,Lag 1,0.5855263157894737,42,1
17,RF,Lag 1,0.5855263157894737,90,1
18,RF,Lag 1,0.5855263157894737,1,1
19,CATBOOST,Lag 1,0.5855263157894737,60,1
20,CATBOOST,Lag 1,0.5855263157894737,1,1
21,EN,Lag 1,0.5855263157894737,42,1
22,LightGBM,Lag 3,0.5827814569536424,60,1
23,LightGBM,Lag 3,0.5827814569536424,90,1
24,RF,Lag 3,0.5827814569536424,10,1
25,LightGBM,Lag 3,0.5827814569536424,10,1
26,LightGBM,Lag 3,0.5827814569536424,1,1
27,L1,Lag 3,0.5827814569536424,42,1
28,CATBOOST,Lag 3,0.5827814569536424,60,1
29,EN,Lag 3,0.5827814569536424,42,1
30,LightGBM,Lag 3,0.5827814569536424,42,1
31,LightGBM,Lag 5,0.58,10,1
32,LightGBM,Lag 5,0.58,60,1
33,LightGBM,Lag 5,0.58,42,1
34,LightGBM,Lag 5,0.58,1,1
35,LightGBM,Lag 5,0.58,90,1
36,RF,Lag 5,0.58,1,1
37,RF,Lag 7,0.58,1,1
38,RF,Lag 5,0.58,60,1
39,RF,Lag 5,0.58,10,1
40,CATBOOST,Lag 7,0.58,10,1
41,CATBOOST,Lag 5,0.58,10,1
42,L1,Lag 1,0.5789473684210527,10,1
43,L2,Lag 1,0.5789473684210527,10,1
44,RF,Lag 1,0.5789473684210527,60,1
45,CATBOOST,Lag 1,0.5789473684210527,90,1
46,EN,Lag 1,0.5789473684210527,10,1
47,CATBOOST,Lag 3,0.5761589403973509,42,1
48,CATBOOST,Lag 3,0.5761589403973509,90,1
49,RF,Lag 7,0.5733333333333334,60,1
50,CATBOOST,Lag 7,0.5733333333333334,1,1
51,RF,Lag 3,0.5695364238410596,90,1
52,CATBOOST,Lag 5,0.5666666666666667,1,1
53,RF,Lag 7,0.5666666666666667,10,1
54,RF,Lag 5,0.5666666666666667,10,2
55,CATBOOST,Lag 5,0.5666666666666667,42,1
56,EN,Lag 1,0.5657894736842105,1,1
57,EN,Lag 1,0.5657894736842105,60,1
58,L2,Lag 3,0.5629139072847682,42,1
59,RF,Lag 3,0.5629139072847682,60,1
60,CATBOOST,Lag 7,0.56,10,2
61,RF,Lag 7,0.56,90,1
62,RF,Lag 7,0.56,42,1
63,RF,Lag 5,0.56,90,1
64,L1,Lag 7,0.56,42,1
65,CATBOOST,Lag 7,0.56,90,1
66,L1,Lag 7,0.56,10,1
67,L1,Lag 7,0.56,90,1
68,CATBOOST,Lag 3,0.5562913907284768,1,2
69,CATBOOST,Lag 5,0.5533333333333333,60,2
70,CATBOOST,Lag 7,0.5533333333333333,60,1
71,RF,Lag 5,0.5533333333333333,42,2
72,RF,Lag 5,0.5533333333333333,60,2
73,RF,Lag 5,0.5533333333333333,90,2
74,RF,Lag 7,0.5533333333333333,10,2
75,RF,Lag 5,0.5533333333333333,42,1
76,RF,Lag 7,0.5533333333333333,90,2
77,L1,Lag 5,0.5533333333333333,1,1
78,L1,Lag 5,0.5533333333333333,60,1
79,L1,Lag 1,0.5526315789473685,90,1
80,CATBOOST,Lag 1,0.5526315789473685,10,1
81,CATBOOST,Lag 1,0.5526315789473685,42,2
82,CATBOOST,Lag 1,0.5526315789473685,90,2
83,L2,Lag 3,0.5496688741721855,10,1
84,CATBOOST,Lag 3,0.5496688741721855,42,2
85,CATBOOST,Lag 3,0.5496688741721855,10,2
86,RF,Lag 3,0.5496688741721855,1,1
87,RF,Lag 3,0.5496688741721855,1,2
88,RF,Lag 3,0.5496688741721855,42,2
89,RF,Lag 3,0.5496688741721855,60,2
90,CATBOOST,Lag 5,0.5466666666666666,10,2
91,LightGBM,Lag 7,0.5466666666666666,90,2
92,CATBOOST,Lag 5,0.5466666666666666,1,2
93,L1,Lag 5,0.5466666666666666,90,1
94,LightGBM,Lag 7,0.5466666666666666,60,2
95,CATBOOST,Lag 5,0.5466666666666666,90,2
96,CATBOOST,Lag 7,0.5466666666666666,90,2
97,LightGBM,Lag 7,0.5466666666666666,10,2
98,LightGBM,Lag 7,0.5466666666666666,1,2
99,LightGBM,Lag 5,0.5466666666666666,90,2
100,CATBOOST,Lag 7,0.5466666666666666,42,2
101,LightGBM,Lag 7,0.5466666666666666,42,2
102,L2,Lag 1,0.5460526315789473,1,1
103,CATBOOST,Lag 1,0.5460526315789473,10,2
104,EN,Lag 1,0.5460526315789473,90,1
105,L2,Lag 1,0.5460526315789473,90,1
106,L2,Lag 1,0.5460526315789473,60,1
107,L2,Lag 1,0.5460526315789473,42,1
108,CATBOOST,Lag 3,0.543046357615894,90,2
109,RF,Lag 3,0.543046357615894,90,2
110,CATBOOST,Lag 3,0.543046357615894,60,2
111,RF,Lag 5,0.54,1,2
112,RF,Lag 7,0.54,60,2
113,LightGBM,Lag 5,0.54,10,2
114,RF,Lag 7,0.54,42,2
115,CATBOOST,Lag 7,0.54,1,2
116,RF,Lag 7,0.54,1,2
117,SVC,Lag 5,0.54,42,2
118,SVC,Lag 5,0.54,10,2
119,SVC,Lag 5,0.54,90,2
120,EN,Lag 5,0.54,90,1
121,SVC,Lag 5,0.54,60,2
122,CATBOOST,Lag 5,0.54,42,2
123,SVC,Lag 5,0.54,1,2
124,L1,Lag 7,0.54,60,1
125,CATBOOST,Lag 1,0.5394736842105263,60,2
126,CATBOOST,Lag 1,0.5394736842105263,1,2
127,RF,Lag 1,0.5394736842105263,60,2
128,EN,Lag 1,0.5394736842105263,90,2
129,LightGBM,Lag 3,0.5364238410596026,42,2
130,LightGBM,Lag 3,0.5364238410596026,90,2
131,LightGBM,Lag 3,0.5364238410596026,1,2
132,RF,Lag 3,0.5364238410596026,10,2
133,LightGBM,Lag 3,0.5364238410596026,10,2
134,EN,Lag 3,0.5364238410596026,10,2
135,LightGBM,Lag 3,0.5364238410596026,60,2
136,L1,Lag 3,0.5364238410596026,90,1
137,L1,Lag 5,0.5333333333333333,10,2
138,EN,Lag 7,0.5333333333333333,1,1
139,L2,Lag 5,0.5333333333333333,10,2
140,CATBOOST,Lag 7,0.5333333333333333,60,2
141,L1,Lag 7,0.5333333333333333,1,1
142,EN,Lag 5,0.5333333333333333,42,2
143,RF,Lag 1,0.5328947368421053,1,2
144,L1,Lag 1,0.5328947368421053,90,2
145,LightGBM,Lag 1,0.5328947368421053,90,2
146,LightGBM,Lag 1,0.5328947368421053,60,2
147,LightGBM,Lag 1,0.5328947368421053,1,2
148,LightGBM,Lag 1,0.5328947368421053,10,2
149,LightGBM,Lag 1,0.5328947368421053,42,2
150,RF,Lag 1,0.5328947368421053,10,2
151,LightGBM,Lag 5,0.5266666666666666,1,2
152,LightGBM,Lag 5,0.5266666666666666,42,2
153,L2,Lag 7,0.5266666666666666,1,1
154,LightGBM,Lag 5,0.5266666666666666,60,2
155,RF,Lag 1,0.5263157894736842,90,2
156,L2,Lag 1,0.5263157894736842,1,2
157,RF,Lag 1,0.5263157894736842,42,2
158,L2,Lag 1,0.5263157894736842,90,2
159,EN,Lag 3,0.5231788079470199,10,1
160,L2,Lag 3,0.5231788079470199,90,1
161,EN,Lag 3,0.5231788079470199,90,1
162,SVC,Lag 7,0.52,90,2
163,L2,Lag 5,0.52,1,2
164,L1,Lag 5,0.52,42,1
165,EN,Lag 7,0.52,1,2
166,L2,Lag 5,0.52,42,2
167,EN,Lag 5,0.52,1,2
168,EN,Lag 5,0.52,42,1
169,SVC,Lag 7,0.52,1,2
170,L1,Lag 5,0.52,1,2
171,SVC,Lag 7,0.52,10,2
172,SVC,Lag 7,0.52,42,2
173,SVC,Lag 7,0.52,60,2
174,L1,Lag 1,0.5197368421052632,60,1
175,CATBOOST,Lag 1,0.5197368421052632,42,1
176,EN,Lag 1,0.5197368421052632,1,2
177,CATBOOST,Lag 3,0.5165562913907285,10,1
178,L1,Lag 7,0.5133333333333333,42,2
179,L2,Lag 5,0.5133333333333333,1,1
180,L2,Lag 5,0.5133333333333333,42,1
181,L2,Lag 5,0.5133333333333333,60,1
182,L1,Lag 5,0.5133333333333333,60,2
183,L2,Lag 5,0.5133333333333333,90,1
184,L1,Lag 1,0.5131578947368421,10,2
185,L1,Lag 1,0.5131578947368421,42,2
186,L1,Lag 1,0.5131578947368421,60,2
187,EN,Lag 1,0.5131578947368421,10,2
188,L2,Lag 1,0.5131578947368421,42,2
189,EN,Lag 1,0.5131578947368421,42,2
190,L1,Lag 1,0.5131578947368421,1,1
191,L1,Lag 5,0.5066666666666667,42,2
192,L2,Lag 7,0.5066666666666667,42,1
193,EN,Lag 7,0.5066666666666667,42,1
194,L2,Lag 5,0.5066666666666667,60,2
195,L1,Lag 7,0.5066666666666667,10,2
196,L2,Lag 1,0.506578947368421,10,2
197,SVC,Lag 3,0.5033112582781457,90,1
198,SVC,Lag 3,0.5033112582781457,10,1
199,SVC,Lag 3,0.5033112582781457,42,1
200,SVC,Lag 3,0.5033112582781457,1,1
201,SVC,Lag 3,0.5033112582781457,60,1
202,SVC,Lag 1,0.5,1,1
203,L2,Lag 7,0.5,10,1
204,EN,Lag 5,0.5,10,2
205,SVC,Lag 1,0.5,60,1
206,EN,Lag 5,0.5,60,2
207,SVC,Lag 1,0.5,42,1
208,SVC,Lag 1,0.5,10,1
209,EN,Lag 7,0.5,90,1
210,SVC,Lag 1,0.5,90,1
211,EN,Lag 7,0.5,90,2
212,L2,Lag 7,0.5,60,1
213,EN,Lag 1,0.5,60,2
214,L2,Lag 7,0.5,90,1
215,L2,Lag 1,0.5,60,2
216,L1,Lag 7,0.5,90,2
217,EN,Lag 3,0.4966887417218543,90,2
218,L1,Lag 3,0.4966887417218543,90,2
219,L2,Lag 3,0.4966887417218543,10,2
220,L2,Lag 3,0.4966887417218543,90,2
221,L1,Lag 3,0.4966887417218543,10,1
222,L2,Lag 3,0.4966887417218543,42,2
223,L1,Lag 7,0.49333333333333335,60,2
224,EN,Lag 7,0.49333333333333335,42,2
225,CATBOOST,Lag 5,0.49333333333333335,60,1
226,L2,Lag 7,0.4866666666666667,90,2
227,EN,Lag 7,0.4866666666666667,10,1
228,L1,Lag 7,0.4866666666666667,1,2
229,L2,Lag 7,0.4866666666666667,1,2
230,L2,Lag 7,0.4866666666666667,10,2
231,L2,Lag 7,0.4866666666666667,42,2
232,L2,Lag 7,0.4866666666666667,60,2
233,SVC,Lag 7,0.48,90,1
234,SVC,Lag 7,0.48,60,1
235,L1,Lag 5,0.48,90,2
236,SVC,Lag 7,0.48,1,1
237,EN,Lag 5,0.48,90,2
238,SVC,Lag 7,0.48,10,1
239,SVC,Lag 7,0.48,42,1
240,L1,Lag 3,0.4768211920529801,60,1
241,L1,Lag 3,0.4768211920529801,60,2
242,L2,Lag 5,0.47333333333333333,90,2
243,EN,Lag 7,0.4666666666666667,10,2
244,L2,Lag 3,0.46357615894039733,60,1
245,EN,Lag 3,0.46357615894039733,60,1
246,L1,Lag 3,0.46357615894039733,1,1
247,L2,Lag 3,0.46357615894039733,1,1
248,EN,Lag 3,0.46357615894039733,1,1
249,SVC,Lag 3,0.45695364238410596,1,2
250,SVC,Lag 3,0.45695364238410596,60,2
251,SVC,Lag 3,0.45695364238410596,90,2
252,EN,Lag 3,0.45695364238410596,60,2
253,SVC,Lag 3,0.45695364238410596,42,2
254,L2,Lag 3,0.45695364238410596,60,2
255,SVC,Lag 3,0.45695364238410596,10,2
256,L1,Lag 1,0.45394736842105265,1,2
257,EN,Lag 7,0.4533333333333333,60,2
258,EN,Lag 5,0.4533333333333333,60,1
259,L2,Lag 5,0.4533333333333333,10,1
260,L1,Lag 3,0.4503311258278146,1,2
261,L2,Lag 3,0.4503311258278146,1,2
262,EN,Lag 3,0.4503311258278146,1,2
263,L1,Lag 3,0.44370860927152317,42,2
264,EN,Lag 3,0.44370860927152317,42,2
265,SVC,Lag 5,0.43333333333333335,1,1
266,EN,Lag 5,0.43333333333333335,1,1
267,SVC,Lag 5,0.43333333333333335,10,1
268,SVC,Lag 5,0.43333333333333335,90,1
269,SVC,Lag 5,0.43333333333333335,60,1
270,SVC,Lag 5,0.43333333333333335,42,1
271,SVC,Lag 1,0.4276315789473684,90,2
272,SVC,Lag 1,0.4276315789473684,60,2
273,SVC,Lag 1,0.4276315789473684,42,2
274,SVC,Lag 1,0.4276315789473684,10,2
275,SVC,Lag 1,0.4276315789473684,1,2
276,L1,Lag 3,0.423841059602649,10,2
277,EN,Lag 7,0.41333333333333333,60,1
278,EN,Lag 5,0.4066666666666667,10,1
279,L1,Lag 5,0.4066666666666667,10,1
