,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
0,M Oliver,4.0,3.4,1.95,7300.0,7900.0,-600.0,2.0
1,A Madley,1.9,3.5,4.0,7900.0,7600.0,300.0,2.0
2,D Coote,3.1,3.1,2.45,7600.0,7600.0,0.0,0.0
3,J Moss,1.25,5.75,13.0,8300.0,7600.0,700.0,2.0
4,M Dean,3.1,3.2,2.37,7500.0,7800.0,-300.0,2.0
5,P Tierney,1.53,4.5,5.75,8400.0,7600.0,800.0,2.0
6,C Pawson,1.66,3.8,5.25,8000.0,7800.0,200.0,2.0
7,A Marriner,9.0,5.75,1.3,7400.0,8400.0,-1000.0,0.0
8,M Atkinson,3.2,3.5,2.2,7600.0,7900.0,-300.0,0.0
9,A Taylor,5.5,4.2,1.6,8200.0,8500.0,-300.0,2.0
10,M Atkinson,2.55,3.2,2.87,7600.0,7300.0,300.0,1.0
11,G Scott,1.08,11.0,26.0,8500.0,7400.0,1100.0,2.0
12,M Dean,1.18,7.5,13.0,8400.0,7600.0,800.0,2.0
13,A Taylor,1.7,3.5,5.75,7600.0,7500.0,100.0,2.0
14,D England,2.37,3.4,3.0,7600.0,7900.0,-300.0,1.0
15,D Coote,1.8,3.75,4.33,7800.0,7600.0,200.0,2.0
16,C Pawson,5.5,4.2,1.57,7600.0,8400.0,-800.0,1.0
17,S Attwell,3.2,3.2,2.35,7800.0,8200.0,-400.0,0.0
18,P Tierney,4.75,3.75,1.72,7900.0,8300.0,-400.0,0.0
19,M Oliver,2.5,3.5,2.75,7900.0,8000.0,-100.0,2.0
20,P Bankes,1.95,3.6,3.8,7841.5,7341.5,500.0,1.0
21,J Moss,2.3,3.2,3.3,7657.5,7964.6,-307.10000000000036,0.0
22,A Taylor,2.45,3.3,2.9,8498.8,8385.9,112.89999999999964,1.0
23,P Tierney,2.5,3.4,2.8,7665.7,7641.2,24.5,1.0
24,M Atkinson,1.25,6.0,12.0,8574.2,7964.1,610.1000000000004,2.0
25,R Jones,4.5,3.5,1.85,7454.9,8027.3,-572.4000000000005,0.0
26,S Attwell,1.55,4.0,6.5,7978.6,7626.6,352.0,1.0
27,M Oliver,3.1,3.5,2.25,7644.7,7636.0,8.699999999999818,1.0
28,A Marriner,1.36,4.75,9.0,8248.0,7541.9,706.1000000000004,2.0
29,M Dean,5.0,3.5,1.75,7884.2,8456.7,-572.5000000000009,0.0
30,M Oliver,1.5,4.6,6.0,7938.0,7415.6,522.3999999999996,2.0
31,D Coote,2.9,3.5,2.4,7631.8,7986.2,-354.39999999999964,1.0
32,S Attwell,1.28,5.5,11.0,8355.2,7841.6,513.6000000000004,2.0
33,J Moss,4.2,3.5,1.9,7628.9,8250.4,-621.5,2.0
34,G Scott,2.8,3.2,2.62,7342.2,7662.8,-320.60000000000036,0.0
35,P Bankes,3.4,3.2,2.25,7556.1,7856.9,-300.7999999999993,0.0
36,P Tierney,6.0,4.0,1.57,8046.0,8555.9,-509.89999999999964,0.0
37,A Taylor,1.18,7.5,15.0,8475.8,7628.8,846.9999999999991,2.0
38,C Pawson,4.33,4.0,1.75,7665.3,8474.9,-809.5999999999995,0.0
39,M Atkinson,1.7,3.75,5.0,7968.1,7643.7,324.40000000000055,2.0
40,M Dean,3.0,3.6,2.3,7714.599999999999,7684.2,30.399999999999636,1.0
41,C Pawson,2.4,3.3,3.0,7881.0,8021.1,-140.10000000000036,2.0
42,A Taylor,3.8,3.6,1.95,7693.2,7982.8,-289.60000000000036,0.0
43,A Madley,1.2,7.0,13.0,8577.199999999999,7680.6,896.5999999999985,2.0
44,D England,1.83,3.25,5.0,7930.4,7386.2,544.1999999999998,0.0
45,R Jones,2.15,3.3,3.5,7495.799999999999,7583.9,-88.10000000000036,0.0
46,J Moss,1.12,9.5,17.0,8691.400000000001,7719.599999999999,971.800000000002,1.0
47,M Atkinson,4.33,4.0,1.75,8046.0,8500.6,-454.60000000000036,0.0
48,S Attwell,2.7,3.2,2.75,7704.0,8069.0,-365.0,2.0
49,P Tierney,5.0,3.8,1.7,8304.5,8432.0,-127.5,0.0
50,M Dean,1.36,5.25,8.0,8561.4,7898.0,663.3999999999996,0.0
51,C Kavanagh,1.57,4.0,6.0,8085.6,7689.8,395.8000000000002,1.0
52,S Attwell,7.0,4.5,1.45,7369.9,8584.9,-1215.0,1.0
53,K Friend,3.0,3.6,2.25,7712.6,8030.0,-317.39999999999964,0.0
54,J Gillett,2.2,3.4,3.3,7583.5,7669.400000000001,-85.90000000000055,1.0
55,D Coote,1.61,3.8,5.75,8031.200000000001,7460.6,570.6000000000004,2.0
56,M Oliver,2.62,3.2,2.75,8413.2,8641.3,-228.09999999999854,0.0
57,C Pawson,2.15,3.3,3.5,8030.7,8271.699999999999,-240.9999999999991,2.0
58,A Madley,2.62,3.2,2.8,7675.8,7912.299999999999,-236.4999999999991,0.0
59,A Marriner,3.1,3.2,2.45,7691.7,7693.900000000001,-2.2000000000007276,1.0
