,Result
0,0.0
1,0.0
2,2.0
3,1.0
4,2.0
5,2.0
6,2.0
7,1.0
8,2.0
9,1.0
10,0.0
11,0.0
12,2.0
13,1.0
14,0.0
15,1.0
16,1.0
17,2.0
18,0.0
19,1.0
20,1.0
21,2.0
22,0.0
23,2.0
24,1.0
25,2.0
26,2.0
27,0.0
28,0.0
29,0.0
30,2.0
31,0.0
32,2.0
33,1.0
34,2.0
35,0.0
36,2.0
37,0.0
38,0.0
39,1.0
40,0.0
41,2.0
42,0.0
43,0.0
44,1.0
45,1.0
46,0.0
47,1.0
48,2.0
49,0.0
50,2.0
51,0.0
52,1.0
53,1.0
54,2.0
55,1.0
56,2.0
57,2.0
58,1.0
59,1.0
60,0.0
61,2.0
62,1.0
63,2.0
64,0.0
65,1.0
66,0.0
67,2.0
68,2.0
69,0.0
70,0.0
71,0.0
72,1.0
73,2.0
74,1.0
75,0.0
76,0.0
77,1.0
78,2.0
79,1.0
80,2.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,1.0
88,2.0
89,0.0
90,0.0
91,0.0
92,2.0
93,2.0
94,1.0
95,1.0
96,0.0
97,0.0
98,2.0
99,1.0
100,2.0
101,2.0
102,1.0
103,2.0
104,0.0
105,2.0
106,2.0
107,2.0
108,1.0
109,1.0
110,2.0
111,2.0
112,2.0
113,2.0
114,0.0
115,1.0
116,2.0
117,1.0
118,1.0
119,2.0
120,2.0
121,2.0
122,2.0
123,1.0
124,1.0
125,1.0
126,1.0
127,0.0
128,0.0
129,0.0
130,2.0
131,2.0
132,0.0
133,2.0
134,1.0
135,0.0
136,2.0
137,2.0
138,2.0
139,2.0
140,1.0
141,2.0
142,2.0
143,0.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,1.0
151,0.0
152,2.0
153,2.0
154,0.0
155,1.0
156,2.0
157,1.0
158,0.0
159,0.0
160,1.0
161,1.0
162,2.0
163,0.0
164,0.0
165,2.0
166,0.0
167,2.0
168,1.0
169,2.0
170,0.0
171,2.0
172,1.0
173,0.0
174,1.0
175,2.0
176,0.0
177,0.0
178,0.0
179,2.0
180,2.0
181,0.0
182,1.0
183,0.0
184,2.0
185,2.0
186,1.0
187,2.0
188,2.0
189,1.0
190,1.0
191,2.0
192,2.0
193,0.0
194,1.0
195,0.0
196,0.0
197,0.0
198,1.0
199,0.0
200,0.0
201,2.0
202,0.0
203,1.0
204,2.0
205,1.0
206,0.0
207,1.0
208,1.0
209,2.0
210,2.0
211,0.0
212,2.0
213,1.0
214,1.0
215,0.0
216,2.0
217,2.0
218,1.0
219,1.0
220,0.0
221,0.0
222,0.0
223,1.0
224,2.0
225,0.0
226,2.0
227,0.0
228,2.0
229,0.0
230,2.0
231,0.0
232,1.0
233,0.0
234,2.0
235,0.0
236,2.0
237,0.0
238,2.0
239,2.0
240,2.0
241,2.0
242,1.0
243,0.0
244,1.0
245,0.0
246,0.0
247,0.0
248,2.0
249,0.0
250,0.0
251,2.0
252,0.0
253,2.0
254,2.0
255,2.0
256,0.0
257,0.0
258,2.0
259,2.0
260,0.0
261,0.0
262,0.0
263,2.0
264,2.0
265,0.0
266,2.0
267,0.0
268,2.0
269,0.0
270,2.0
271,2.0
272,2.0
273,1.0
274,0.0
275,0.0
276,2.0
277,0.0
278,0.0
279,2.0
280,2.0
281,1.0
282,1.0
283,0.0
284,0.0
285,1.0
286,2.0
287,2.0
288,2.0
289,2.0
290,2.0
291,2.0
292,2.0
293,2.0
294,0.0
295,0.0
296,0.0
297,0.0
298,2.0
299,2.0
300,1.0
301,2.0
302,2.0
303,0.0
304,2.0
305,0.0
306,1.0
307,2.0
308,2.0
309,1.0
310,2.0
311,0.0
312,2.0
313,2.0
314,2.0
315,1.0
316,1.0
317,2.0
318,0.0
319,2.0
320,1.0
321,2.0
322,2.0
323,1.0
324,1.0
325,0.0
326,0.0
327,0.0
328,2.0
329,0.0
330,0.0
331,2.0
332,0.0
333,2.0
334,2.0
335,1.0
336,2.0
337,2.0
338,2.0
339,0.0
340,1.0
341,2.0
342,0.0
343,2.0
344,0.0
345,0.0
346,0.0
347,1.0
348,2.0
349,0.0
350,2.0
351,1.0
352,1.0
353,0.0
354,1.0
355,2.0
356,0.0
357,1.0
358,2.0
359,0.0
360,2.0
361,1.0
362,1.0
363,0.0
364,0.0
365,2.0
366,1.0
367,2.0
368,2.0
369,2.0
370,0.0
371,1.0
372,0.0
373,2.0
374,2.0
375,2.0
376,1.0
377,2.0
378,1.0
379,1.0
380,1.0
381,2.0
382,1.0
383,0.0
384,0.0
385,2.0
386,2.0
387,1.0
388,2.0
389,0.0
390,2.0
391,1.0
392,2.0
393,2.0
394,2.0
395,2.0
396,0.0
397,2.0
398,1.0
399,2.0
400,1.0
401,0.0
402,0.0
403,2.0
404,1.0
405,2.0
406,1.0
407,1.0
408,1.0
409,2.0
410,2.0
411,2.0
412,0.0
413,0.0
414,1.0
415,2.0
416,1.0
417,1.0
418,2.0
419,2.0
420,2.0
421,2.0
422,2.0
423,0.0
424,2.0
425,2.0
426,0.0
427,1.0
428,2.0
429,0.0
430,2.0
431,0.0
432,2.0
433,0.0
434,1.0
435,0.0
436,1.0
437,1.0
438,2.0
439,2.0
440,2.0
441,2.0
442,2.0
443,2.0
444,0.0
445,2.0
446,2.0
447,2.0
448,0.0
449,1.0
