iter	Logloss
0	0.6910276141
1	0.6886459676
2	0.686075165
3	0.6837308435
4	0.6812646391
5	0.6790564344
6	0.6763806858
7	0.6744409279
8	0.6722622101
9	0.6704584952
10	0.6685192926
11	0.6663277885
12	0.664102558
13	0.6617480029
14	0.6598685186
15	0.6579593257
16	0.6561024605
17	0.6541360707
18	0.6517192853
19	0.6501047682
20	0.6484931602
21	0.6465987636
22	0.644864144
23	0.6425207593
24	0.6406373188
25	0.6383094298
26	0.63630119
27	0.6345653768
28	0.6329989058
29	0.6316178099
30	0.630213676
31	0.6284248005
32	0.6269963522
33	0.6249508388
34	0.6229464545
35	0.6209059845
36	0.6192700586
37	0.6176001072
38	0.6153794016
39	0.6137696367
40	0.6119516666
41	0.6101470605
42	0.6083427652
43	0.606512849
44	0.6049838858
45	0.6033242912
46	0.601823364
47	0.6002622402
48	0.5984567439
49	0.5967710545
50	0.5951033703
51	0.5935957281
52	0.5919496531
53	0.5901272216
54	0.5887761627
55	0.5876262074
56	0.5865235184
57	0.5846159056
58	0.5832718123
59	0.5819418841
60	0.5797716296
61	0.5783366292
62	0.5772226921
63	0.5757827972
64	0.5742234845
65	0.573216877
66	0.5719217819
67	0.5709498954
68	0.569723921
69	0.5683976878
70	0.5668191097
71	0.5652462563
72	0.5633895575
73	0.5624385203
74	0.5608032948
75	0.5595427823
76	0.5578794899
77	0.5561250897
78	0.5545876396
79	0.5529242404
80	0.5513283059
81	0.5498897571
82	0.5484879638
83	0.5471889375
84	0.5461745065
85	0.5451677792
86	0.5437365331
87	0.5428510899
88	0.5414952334
89	0.5402059222
90	0.5390765319
91	0.5380762436
92	0.5367215218
93	0.5355549598
94	0.534074382
95	0.5329111528
96	0.5318406902
97	0.5308872171
98	0.5297164151
99	0.5282222404
100	0.5268777965
101	0.5257340592
102	0.5246500323
103	0.5233891262
104	0.5224196234
105	0.5210758463
106	0.5198813379
107	0.519026896
108	0.5176950705
109	0.5166673625
110	0.5159472111
111	0.5151940007
112	0.5141322328
113	0.5130699714
114	0.5119715062
115	0.5109118974
116	0.5099235175
117	0.5089786151
118	0.5079394316
119	0.5067641354
120	0.5053116459
121	0.5042926491
122	0.503373463
123	0.5022993159
124	0.5012634666
125	0.4998851219
126	0.4986077859
127	0.4978629525
128	0.4964345827
129	0.4949686639
130	0.4940751818
131	0.4928087432
132	0.4919991524
133	0.4909603278
134	0.4901510651
